model_key,policy_name,budget_fraction,num_evaluations,mean_logit_l2,mean_kl,mean_top1_agreement,mean_token_fraction,mean_budget_token_fraction,mean_retained_turn_fraction
qwen25_05b,geometry,0.20,18,431.8645256890191,8.724060476497345e-06,1.0,0.5803389652984151,0.40030522983754013,0.4833333333333333
qwen25_05b,geometry,0.35,18,234.38281631469727,7.900812073962587e-06,1.0,0.6688902473767359,0.5021080158677347,0.5916666666666667
qwen25_05b,geometry,0.50,18,245.93182457817926,5.570525746160608e-06,1.0,0.7574341659869074,0.6012247817995611,0.6972222222222223
qwen25_05b,geometry,0.65,18,281.3668399386936,5.561722023471481e-06,1.0,0.8210913689093666,0.6743742039479296,0.775
qwen25_05b,geometry_lexical,0.20,18,431.8645256890191,8.724060476497345e-06,1.0,0.5803389652984151,0.40030522983754013,0.4833333333333333
qwen25_05b,geometry_lexical,0.35,18,354.8487781948513,7.917392131437692e-06,1.0,0.6526671853298753,0.4837924816435165,0.5916666666666667
qwen25_05b,geometry_lexical,0.50,18,343.95699734157984,5.5822338357201945e-06,1.0,0.7542689120682773,0.5973974013460387,0.6972222222222223
qwen25_05b,geometry_lexical,0.65,18,281.3668399386936,5.561722023471481e-06,1.0,0.8210913689093666,0.6743742039479296,0.775
qwen25_05b,lexical,0.20,18,431.8645256890191,8.724060476497345e-06,1.0,0.5803389652984151,0.40030522983754013,0.4833333333333333
qwen25_05b,lexical,0.35,18,353.14416122436523,7.912238906134425e-06,1.0,0.6547768899712254,0.4862255716678474,0.5916666666666667
qwen25_05b,lexical,0.50,18,326.5933380126953,5.56613187003347e-06,1.0,0.7514318891601603,0.5941437022190136,0.6972222222222223
qwen25_05b,lexical,0.65,18,278.98673163519965,5.559003447292494e-06,1.0,0.8181673923011795,0.6789690243322236,0.775
qwen25_05b,uniform,0.20,18,431.8645256890191,8.724060476497345e-06,1.0,0.5803389652984151,0.40030522983754013,0.4833333333333333
qwen25_05b,uniform,0.35,18,353.14416122436523,7.912238906134425e-06,1.0,0.6547768899712254,0.4862255716678474,0.5916666666666667
qwen25_05b,uniform,0.50,18,267.3327869839138,5.483423852117555e-06,1.0,0.7459139077832818,0.6330244261698703,0.6972222222222223
qwen25_05b,uniform,0.65,18,277.28818384806317,5.159611868322935e-06,1.0,0.7595163293764899,0.6963391347019084,0.7194444444444446
qwen25_15b,geometry,0.20,18,314.43805525037976,6.778334834262662e-06,1.0,0.5803389652984151,0.40030522983754013,0.4833333333333333
qwen25_15b,geometry,0.35,18,232.45999908447266,6.319124882593465e-06,1.0,0.6688902473767359,0.5021080158677347,0.5916666666666667
qwen25_15b,geometry,0.50,18,240.86480543348523,6.734394233154362e-06,1.0,0.75248743843744,0.5955379926482051,0.6972222222222223
qwen25_15b,geometry,0.65,18,253.39007059733072,6.7299599711350625e-06,1.0,0.8210913689093666,0.6743742039479296,0.775
qwen25_15b,geometry_lexical,0.20,18,314.43805525037976,6.778334834262662e-06,1.0,0.5803389652984151,0.40030522983754013,0.4833333333333333
qwen25_15b,geometry_lexical,0.35,18,253.25640614827475,6.320336922494008e-06,1.0,0.6547807118999235,0.48626948093580236,0.5916666666666667
