model_key,conversation_id,family,target_turn,policy_name,budget_fraction,budget_token_fraction,retained_turn_fraction,retained_turn_indices,full_token_count,compressed_token_count,token_fraction,logit_l2,kl,top1_match,kept_segment_count,compressed_segment_count,evicted_segment_count,memory_objects
llama32_3b,stress_retrieval_launch_packet,retrieval_heavy,4,uniform,0.2,0.35064935064935066,0.5,"2,3",171,114,0.6666666666666666,973.9862670898438,4.9165341806656215e-06,1.0,0,0,0,[]
llama32_3b,stress_retrieval_launch_packet,retrieval_heavy,4,semantic,0.2,0.35064935064935066,0.5,"2,3",171,114,0.6666666666666666,973.9862670898438,4.9165341806656215e-06,1.0,0,0,0,[]
llama32_3b,stress_retrieval_launch_packet,retrieval_heavy,4,geometry,0.2,0.35064935064935066,0.5,"2,3",171,114,0.6666666666666666,973.9862670898438,4.9165341806656215e-06,1.0,0,0,0,[]
llama32_3b,stress_retrieval_launch_packet,retrieval_heavy,4,geometry_keep_compress_drop,0.2,0.35064935064935066,0.5,"2,3",171,114,0.6666666666666666,973.9862670898438,4.9165341806656215e-06,1.0,0,0,1,[]
llama32_3b,stress_retrieval_launch_packet,retrieval_heavy,4,semantic_keep_compress_drop,0.2,0.35064935064935066,0.5,"2,3",171,114,0.6666666666666666,973.9862670898438,4.9165341806656215e-06,1.0,0,0,1,[]
llama32_3b,stress_retrieval_launch_packet,retrieval_heavy,4,uniform,0.35,0.5064935064935064,0.75,"1,2,3",171,138,0.8070175438596491,359.25836181640625,1.8756616100290557e-06,1.0,0,0,0,[]
llama32_3b,stress_retrieval_launch_packet,retrieval_heavy,4,semantic,0.35,0.5064935064935064,0.75,"1,2,3",171,138,0.8070175438596491,359.25836181640625,1.8756616100290557e-06,1.0,0,0,0,[]
llama32_3b,stress_retrieval_launch_packet,retrieval_heavy,4,geometry,0.35,0.5064935064935064,0.75,"1,2,3",171,138,0.8070175438596491,359.25836181640625,1.8756616100290557e-06,1.0,0,0,0,[]
llama32_3b,stress_retrieval_launch_packet,retrieval_heavy,4,geometry_keep_compress_drop,0.35,0.35064935064935066,0.5,"2,3",171,114,0.6666666666666666,973.9862670898438,4.9165341806656215e-06,1.0,0,0,1,[]
llama32_3b,stress_retrieval_launch_packet,retrieval_heavy,4,semantic_keep_compress_drop,0.35,0.5064935064935064,0.75,"1,2,3",171,138,0.8070175438596491,359.25836181640625,1.8756616100290557e-06,1.0,0,1,0,"[{""segment_start"":0,""segment_end"":2,""anchor_turn_index"":1,""support_turn_indices"":[],""retained_turn_indices"":[1],""risk"":0.39236634969711304,""action"":""compress""}]"
